"prix","type","classe","tarif","dest","duree","jour"
98,"AVE","Preferente","Promo",0,190,1
86.8,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,180,1
83.5,"AVE","Preferente","Promo",0,182,6
143.4,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,190,1
181.5,"AVE","Preferente","Flexible",0,190,5
169.2,"AVE","Preferente","Promo",0,150,5
98,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,190,1
68.95,"AVE","Preferente","Promo",0,190,5
98,"AVE","Preferente","Promo",0,165,5
214.2,"AVE","Preferente","Flexible",0,150,5
181.5,"AVE","Preferente","Flexible",0,190,6
181.5,"AVE","Preferente","Flexible",0,180,5
98,"AVE","Preferente","Promo",0,156,5
98,"AVE-TGV","Preferente","Promo",0,175,4
83.5,"AVE","Preferente","Promo",0,190,6
68.95,"AVE","Preferente","Promo",0,150,4
68.95,"AVE","Preferente","Promo",0,150,3
68.95,"AVE","Preferente","Promo",0,150,3
115.65,"AVE","Preferente","Promo",0,150,1
98,"AVE","Preferente","Promo",0,190,1
68.95,"AVE","Preferente","Promo",0,165,3
181.5,"AVE","Preferente","Flexible",0,190,2
68.95,"AVE","Preferente","Promo",0,150,3
81.4,"AVE","Preferente","Promo",0,150,1
98,"AVE","Preferente","Promo",0,165,4
98,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,165,5
98,"AVE","Preferente","Promo",0,165,3
98,"AVE","Preferente","Promo",0,165,2
68.95,"AVE","Preferente","Promo",0,150,3
112.55,"AVE","Preferente","Promo",0,190,1
115.65,"AVE","Preferente","Promo",0,150,6
68.95,"AVE","Preferente","Promo",0,150,3
98,"AVE","Preferente","Promo",0,165,7
181.5,"AVE","Preferente","Flexible",0,190,5
98,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,165,4
83.5,"AVE","Preferente","Promo",0,190,6
68.95,"AVE","Preferente","Promo",0,150,4
68.95,"AVE","Preferente","Promo",0,150,3
181.5,"AVE","Preferente","Flexible",0,190,4
98,"AVE","Preferente","Promo",0,150,1
86.8,"AVE","Preferente","Promo",0,180,7
98,"AVE","Preferente","Promo",0,165,3
98,"AVE","Preferente","Promo",0,180,2
98,"AVE","Preferente","Promo",0,190,6
98,"AVE-TGV","Preferente","Promo",0,175,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,165,1
98.55,"AVE","Preferente","Promo",0,150,3
98,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,165,6
98,"AVE","Preferente","Promo",0,190,1
143.4,"AVE","Preferente","Promo",0,150,1
64.4,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,180,2
98.01,"AVE","Preferente","Promo",0,150,1
86.8,"AVE","Preferente","Promo",0,180,7
98,"AVE","Preferente","Promo",0,190,6
98.01,"AVE","Preferente","Promo",0,190,2
181.5,"AVE","Preferente","Flexible",0,190,3
98,"AVE","Preferente","Promo",0,165,4
86.8,"AVE","Preferente","Promo",0,190,7
83.5,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,1
83.5,"AVE","Preferente","Promo",0,167,5
98,"AVE","Preferente","Promo",0,156,5
112.55,"AVE","Preferente","Promo",0,165,2
86.8,"AVE","Preferente","Promo",0,165,7
143.4,"AVE","Preferente","Promo",0,190,1
169.2,"AVE","Preferente","Promo",0,150,5
98,"AVE","Preferente","Promo",0,165,1
98,"AVE-TGV","Preferente","Promo",0,175,1
68.95,"AVE","Preferente","Promo",0,165,2
98,"AVE-TGV","Preferente","Promo",0,175,1
181.5,"AVE","Preferente","Flexible",0,165,1
98,"AVE-TGV","Preferente","Promo",0,175,1
115.65,"AVE","Preferente","Promo",0,150,3
181.5,"AVE-TGV","Preferente","Flexible",0,175,6
181.5,"AVE","Preferente","Flexible",0,190,6
98,"AVE","Preferente","Promo",0,190,3
98,"AVE","Preferente","Promo",0,170,2
98,"AVE","Preferente","Promo",0,165,2
181.5,"AVE","Preferente","Flexible",0,180,6
81.4,"AVE","Preferente","Promo",0,150,6
127.05,"AVE","Preferente","Promo",0,190,2
68.95,"AVE","Preferente","Promo",0,165,2
86.8,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,182,6
68.95,"AVE","Preferente","Promo",0,150,6
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,4
181.5,"AVE","Preferente","Flexible",0,190,4
98,"AVE","Preferente","Promo",0,190,2
98,"AVE","Preferente","Promo",0,156,5
78.8,"AVE","Turista","Promo",0,150,4
85.1,"AVE","Turista","Promo",0,165,1
66.75,"AVE","Turista","Promo",0,165,4
88.95,"AVE","Turista","Promo",0,150,1
78.8,"AVE","Turista","Promo",0,150,5
85.1,"AVE","Turista","Promo",0,190,3
127.1,"AVE","Turista","Flexible",0,150,1
85.1,"AVE","Turista","Promo",0,156,5
49.55,"AVE","Turista","Promo",0,190,5
85.1,"AVE","Turista","Promo",0,190,6
75.4,"AVE","Turista","Promo",0,190,6
100.4,"AVE","Turista","Promo",0,150,2
100.4,"AVE","Turista","Promo",0,150,5
58.15,"AVE-TGV","Turista","Promo",0,175,2
58.45,"AVE","Turista","Promo",0,150,4
85.1,"AVE","Turista","Promo",0,165,5
75.4,"AVE-TGV","Turista","Promo",0,175,5
85.1,"AVE","Turista","Promo",0,190,6
58.45,"AVE","Turista","Promo",0,150,3
75.4,"AVE","Turista","Promo",0,165,6
78.8,"AVE","Turista","Promo",0,150,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,7
66.75,"AVE","Turista","Promo",0,190,7
107.7,"AVE","Turista","Flexible",0,180,5
75.4,"AVE","Turista","Promo",0,150,6
66.75,"AVE","Turista","Promo",0,165,4
75.4,"AVE","Turista","Promo",0,165,4
85.1,"AVE","Turista","Promo",0,165,7
127.1,"AVE","Turista","Flexible",0,150,6
66.75,"AVE","Turista","Promo",0,165,3
85.1,"AVE","Turista","Promo",0,165,6
85.1,"AVE","Turista","Promo",0,190,1
43.25,"REXPRESS","Turista","AdultoIda",0,544,5
107.7,"AVE","Turista","Flexible",0,165,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
88.95,"AVE","Turista","Promo",0,150,6
85.1,"AVE","Turista","Promo",0,190,7
58.15,"AVE","Turista","Promo",0,190,5
66.75,"AVE-TGV","Turista","Promo",0,175,7
78.8,"AVE","Turista","Promo",0,150,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
85.1,"AVE","Turista","Promo",0,165,5
88.95,"AVE","Turista","Promo",0,150,4
107.7,"AVE","Turista","Flexible",0,190,1
88.95,"AVE","Turista","Promo",0,150,2
58.15,"AVE","Turista","Promo",0,165,6
107.7,"AVE","Turista","Flexible",0,190,3
66.75,"AVE","Turista","Promo",0,165,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
